id,timestamp,latency_ms
528,1743557532.775774,1.94
529,1743557532.8817194,2.849
530,1743557532.9824932,1.348
531,1743557533.0862467,1.386
532,1743557533.19053,1.148
533,1743557533.2946823,1.224
534,1743557533.3992078,1.403
535,1743557533.5032043,1.292
536,1743557533.604514,1.561
537,1743557533.7084076,1.107
538,1743557533.8126125,1.383
539,1743557533.9168682,1.384
540,1743557534.0192077,1.923
541,1743557534.124036,2.136
542,1743557534.2287593,1.892
543,1743557534.3333158,1.925
544,1743557534.437276,1.342
545,1743557534.5425837,2.389
546,1743557534.6465807,1.859
547,1743557534.7508633,1.262
548,1743557534.8567383,2.817
549,1743557534.9606924,1.763
550,1743557535.064353,2.722
551,1743557535.1693501,2.602
552,1743557535.2736273,2.021
553,1743557535.3782303,1.781
554,1743557535.481779,1.152
555,1743557535.5862548,1.514
556,1743557535.6906724,1.384
557,1743557535.7958086,1.977
558,1743557535.8995373,1.097
559,1743557536.0047202,2.101
560,1743557536.1073797,1.897
561,1743557536.210884,1.091
562,1743557536.3159578,1.977
563,1743557536.4208286,2.102
564,1743557536.5251493,1.966
565,1743557536.6302395,2.106
566,1743557536.7340543,1.604
567,1743557536.8386633,1.756
568,1743557536.9427817,1.683
569,1743557537.0440576,1.35
570,1743557537.1473398,2.016
571,1743557537.2509987,1.295
572,1743557537.355254,1.382
573,1743557537.4593997,1.387
574,1743557537.563241,1.274
575,1743557537.6676142,1.359
576,1743557537.7713354,1.124
577,1743557537.8758674,1.461
578,1743557537.9802265,1.35
579,1743557538.0841188,1.218
580,1743557538.1866848,1.275
581,1743557538.290629,1.362
582,1743557538.3947418,1.245
583,1743557538.4990947,1.137
584,1743557538.6029866,1.119
585,1743557538.7070599,1.067
586,1743557538.8109107,1.127
587,1743557538.916394,2.2
588,1743557539.0209184,1.913
589,1743557539.1215768,1.417
590,1743557539.222399,1.352
591,1743557539.324775,1.328
592,1743557539.429638,1.811
593,1743557539.5338826,1.73
594,1743557539.6383843,1.767
595,1743557539.7433016,2.189
596,1743557539.8436835,1.111
597,1743557539.949016,2.543
598,1743557540.0532434,2.186
599,1743557540.1568668,1.401
600,1743557540.2605503,1.169
601,1743557540.36448,1.089
602,1743557540.4695947,1.88
603,1743557540.5734625,1.286
604,1743557540.6784046,1.738
605,1743557540.7823217,1.517
606,1743557540.8834295,1.537
607,1743557540.9876747,1.668
608,1743557541.0910683,1.143
609,1743557540.583843,1.252
610,1743557540.688001,1.102
611,1743557539.769241,1.229
612,1743557539.872443,1.177
613,1743557539.9759881,1.17
614,1743557540.0802698,1.198
615,1743557540.1816425,1.127
616,1743557540.2859385,1.43
617,1743557540.3894875,1.265
618,1743557540.4935062,1.36
619,1743557540.5975504,1.138
620,1743557540.7024858,1.645
621,1743557540.8068197,1.738
